IDN,NSN,common_name,Price,UI,AAC,Batch,ParentID
1,3230-01-574-9904,Reciprocating Saw Blade,8.54,PG,H,KVPMSCA0001,
2,3510-00-273-9738,Laundry Bag,34.35,DZ,H,KVPMSCA0002,3230-01-574-9904
3,3510-00-273-9739,Laundry Bag,77.35,DZ,H,KVPMSCA0003,3230-01-574-9904
4,3510-01-622-7152,Laundry Net,7.87,EA,H,KVPMSCA0004,3230-01-574-9904
5,3510-01-622-7153,Laundry Net,8.73,EA,H,KVPMSCA0005,3510-00-273-9738
6,3540-00-223-8436,Steel Strapping Tensioner,214.53,EA,H,KVPMSCA0006,3510-00-273-9738
7,3540-00-223-8589,Steel Strapping Sealer,157.58,EA,H,KVPMSCA0007,3510-00-273-9738
8,3540-00-223-8592,Steel Strapping Sealer,158.34,EA,H,KVPMSCA0008,3510-00-273-9739
9,3540-00-278-1251,Steel Strapping Tensioner,226.72,EA,H,KVPMSCA0009,3510-00-273-9739
10,3540-00-344-8642,Strapping Coil Hand Truck,282.62,EA,H,KVPMSCA0010,3510-00-273-9739
11,3540-00-565-6240,Strapping and Sealing Kit,267.1,KT,H,KVPMSCA0011,3510-01-622-7152
12,3540-00-565-6241,Strapping and Sealing Kit,277,KT,H,KVPMSCA0012,3510-01-622-7152
13,3540-00-565-6242,Strapping and Sealing Kit,270.71,KT,H,KVPMSCA0013,3510-01-622-7152
14,3540-00-565-6243,Strapping and Sealing Kit,266.68,KT,H,KVPMSCA0014,3540-00-565-6242
15,3540-00-565-6244,Strapping and Sealing Kit,484.18,KT,H,KVPMSCA0015,3540-00-565-6242
16,3540-00-857-8512,Steel Strapping Tensioner,62.26,EA,H,KVPMSCA0016,3540-00-565-6242
17,3540-01-456-4286,Heat Sealing Machine,3540.47,EA,H,KVPMSCA0017,3510-00-273-9738
18,3540-01-518-6568,Packaging System,4068.7,AY,J,KVPMSCA0018,3510-00-273-9738
19,3590-00-058-1837,Barber's Kit,324.14,KT,H,KVPMSCA0019,3510-00-273-9738
20,3590-00-892-4525,Hair Clippers,78.78,EA,H,KVPMSCA0020,3510-00-273-9739
21,3750-00-086-7690,Lawn Rake,14.95,EA,H,KVPMSCA0021,3510-00-273-9739
22,3750-00-239-8678,Grass Cutter,25.01,EA,J,KVPMSCA0022,3510-00-273-9739
23,3750-00-243-2408,Garden Rake,15.51,EA,H,KVPMSCA0023,3510-01-622-7152
24,3750-00-641-1197,Pruning Shears (Two Hand Loppers),17.24,EA,H,KVPMSCA0024,3510-01-622-7152
25,3750-01-611-7559,Garden Hoe,35.22,EA,H,KVPMSCA0025,3510-01-622-7152
26,3750-01-611-8751,Rake (Garden),37.17,EA,H,KVPMSCA0026,3750-01-611-7559
27,3750-01-611-8752,Rake (Leaf),25.81,EA,H,KVPMSCA0027,3750-01-611-7559
28,3750-01-615-8542,Rake (Garden),32.56,EA,H,KVPMSCA0028,3750-01-611-7559
29,3920-00-847-1305,Hand Truck,125.58,EA,H,KVPMSCA0029,3510-00-273-9738
30,3990-00-171-9774,Load Binder,31.86,EA,H,KVPMSCA0030,3510-00-273-9738
31,3990-00-171-9775,Load Binder,62.2,EA,H,KVPMSCA0031,3510-00-273-9738
32,3990-00-596-7051,Load Binder,70.54,EA,H,KVPMSCA0032,3510-00-273-9739
33,4010-00-149-5584,Chain,242.16,LG,H,KVPMSCA0033,3510-00-273-9739
34,4010-00-171-4426,Single-Leg Chain Assembly,38.25,EA,H,KVPMSCA0034,3510-00-273-9739
35,4010-00-171-4427,Single-Leg Chain Assembly,46.21,EA,H,KVPMSCA0035,3510-01-622-7152
36,4010-00-171-4512,Sash Chain,155.25,RL,H,KVPMSCA0036,3510-01-622-7152
37,4010-00-191-0091,Chain Link,31.61,BX,H,KVPMSCA0037,3510-01-622-7152
38,4020-00-068-7906,Rope,89.4,SL,H,KVPMSCA0038,4010-00-191-0091
39,4020-00-068-7907,Rope,134.98,SL,H,KVPMSCA0039,4010-00-191-0091
40,4020-00-141-7152,Rope,390.02,RL,H,KVPMSCA0040,4010-00-191-0091
41,4020-00-240-2142,Sash Cord,170.58,RL,H,KVPMSCA0041,3510-00-273-9738
42,4020-00-240-2146,Cord,195.24,SL,H,KVPMSCA0042,3510-00-273-9738
